Question,Option1,Option2,Option3,Option4,Answer,Fact
क्लाउड कंप्यूटिंग में IaaS (Infrastructure as a Service) का क्या अर्थ है?,केवल सॉफ्टवेयर खरीदना,"इंटरनेट के माध्यम से वर्चुअलाइज्ड कंप्यूटिंग हार्डवेयर (सर्वर, स्टोरेज) किराए पर या सर्विस के रूप में प्राप्त करना",कंप्यूटर असेंबल करना,फ्री इंटरनेट,2,IaaS (जैसे Amazon EC2) कंपनियों को बिना भौतिक सर्वर खरीदे क्लाउड पर पूरा आईटी इन्फ्रास्ट्रक्चर मैनेज करने की सुविधा देता है।
कंप्यूटर में BIOS (बायोस) का फुल फॉर्म क्या है?,Basic Input Output System,Broad Input Output System,Background Input Output System,Basic Internal Output System,1,"BIOS (Basic Input Output System) मदरबोर्ड की ROM चिप में सेव एक प्रोग्राम है, जो कंप्यूटर चालू होते ही हार्डवेयर की चेकिंग (POST) करता है।"
CMOS का पूरा नाम क्या है?,Common Metal Oxide Semiconductor,Complementary Metal Oxide Semiconductor,Computer Metal Oxide Semiconductor,Common Media Output System,2,"CMOS मदरबोर्ड पर लगी एक छोटी बैटरी होती है, जो कंप्यूटर बंद होने के बाद भी डेट, टाइम और बायोस की सेटिंग्स को सेव रखती है।"
दुनिया की पहली कंप्यूटर प्रोग्रामर किसे माना जाता है?,चार्ल्स बैबेज,लेडी एडा लवलेस (Lady Ada Lovelace),ग्रेस हॉपर,टिम बर्नर्स ली,2,लेडी एडा लवलेस ने चार्ल्स बैबेज के 'एनालिटिकल इंजन' के लिए दुनिया का पहला एल्गोरिदम (प्रोग्राम) लिखा था।
बाइनरी नंबर सिस्टम (Binary Number System) का बेस (Base) कितना होता है?,2,8,10,16,1,बाइनरी का बेस 2 होता है क्योंकि इसमें केवल दो ही अंक (0 और 1) होते हैं। कंप्यूटर सारा डेटा बाइनरी में ही प्रोसेस करता है।
ऑक्टल नंबर सिस्टम (Octal Number System) का बेस कितना होता है?,2,8,10,16,2,"ऑक्टल नंबर सिस्टम में 0 से लेकर 7 तक कुल 8 अंक होते हैं, इसलिए इसका बेस (Base) 8 होता है।"
हेक्साडेसिमल नंबर सिस्टम (Hexadecimal) का बेस क्या होता है?,2,8,10,16,4,हेक्साडेसिमल का बेस 16 होता है (0 से 9 तक नंबर और A से F तक अल्फाबेट)। इसका इस्तेमाल मैक एड्रेस (MAC Address) आदि में होता है।
इनमें से कौन-सा एक वेब ब्राउज़र (Web Browser) का उदाहरण है?,Google,Yahoo,Google Chrome,Bing,3,"Google Chrome, Mozilla Firefox और Safari वेब ब्राउज़र हैं, जिनकी मदद से हम इंटरनेट चलाते हैं (Google और Yahoo सर्च इंजन हैं)।"
इनमें से कौन-सा एक सर्च इंजन (Search Engine) का उदाहरण है?,Google,Mozilla Firefox,Opera,Internet Explorer,1,"Google, Bing और Yahoo सर्च इंजन हैं, जिनका काम इंटरनेट के विशाल डेटाबेस में से हमारी मनचाही जानकारी खोजकर लाना है।"
दुनिया का सबसे पहला कंप्यूटर नेटवर्क कौन-सा था?,Internet,ARPANET,NSFNET,Ethernet,2,"ARPANET (Advanced Research Projects Agency Network) दुनिया का पहला नेटवर्क था, जिसे 1969 में अमेरिकी रक्षा विभाग ने बनाया था।"
LAN का पूरा नाम क्या है?,Local Area Network,Local Access Network,Large Area Network,Logical Area Network,1,"LAN (Local Area Network) एक ऐसा नेटवर्क है जो एक छोटे क्षेत्र जैसे एक कमरे, ऑफिस या बिल्डिंग के कंप्यूटरों को आपस में जोड़ता है।"
WAN का पूरा नाम क्या है?,Wide Access Network,Wide Area Network,World Area Network,Wireless Area Network,2,"WAN (Wide Area Network) सबसे बड़ा नेटवर्क होता है, जो पूरी दुनिया या किसी बड़े देश के कंप्यूटरों को जोड़ता है। इंटरनेट WAN का ही उदाहरण है।"
MAN का पूरा नाम क्या है?,Main Area Network,Metropolitan Area Network,Micro Area Network,Medium Area Network,2,MAN (Metropolitan Area Network) वह नेटवर्क है जो एक पूरे शहर (City) के कंप्यूटरों या अलग-अलग LAN को आपस में जोड़ता है।
Wi-Fi का पूरा नाम क्या है?,Wireless Fidelity,Wireless Fiber,Wired Fidelity,Wireless Field,1,Wi-Fi (Wireless Fidelity) रेडियो तरंगों (Radio waves) की मदद से बिना तार के इंटरनेट चलाने और डेटा ट्रांसफर करने की तकनीक है।
IP का पूरा नाम क्या है?,Internet Provider,Internet Protocol,Internal Protocol,Intranet Protocol,2,"IP (Internet Protocol) नियमों का एक सेट है। इंटरनेट से जुड़े हर डिवाइस का एक यूनीक IP एड्रेस होता है, जिससे उसकी पहचान होती है।"
MAC एड्रेस का पूरा नाम क्या है?,Media Access Control,Main Access Control,Machine Access Control,Media Active Control,1,"MAC (Media Access Control) एड्रेस कंप्यूटर के नेटवर्क कार्ड (NIC) का फिजिकल एड्रेस होता है, जिसे बदला नहीं जा सकता।"
HTTP का फुल फॉर्म क्या है?,Hyper Text Transfer Protocol,Hyper Text Transport Protocol,Hyper Transfer Text Protocol,High Text Transfer Protocol,1,HTTP (Hyper Text Transfer Protocol) वह नियम है जिसके द्वारा इंटरनेट पर वेब पेज (HTML फाइलें) एक जगह से दूसरी जगह ट्रांसफर होते हैं।
HTTPS में 'S' का क्या अर्थ है?,System,Secure (सुरक्षित),Server,Software,2,"HTTPS का मतलब Hyper Text Transfer Protocol Secure है। यह दर्शाता है कि आप जिस वेबसाइट पर हैं, वहां आपका डेटा एन्क्रिप्टेड और सुरक्षित (Secure) है।"
HTML का पूरा नाम क्या है?,Hyper Text Markup Language,High Text Markup Language,Hyper Text Main Language,Hyper Transfer Markup Language,1,HTML (Hyper Text Markup Language) वह बेसिक प्रोग्रामिंग भाषा है जिसका इस्तेमाल वेबसाइट्स और वेब पेज बनाने के लिए किया जाता है।
ISP का पूरा नाम क्या है?,Internet Service Provider,Internet System Provider,Internal Service Provider,Internet Security Provider,1,"ISP (Internet Service Provider) वह कंपनी होती है जो हमें इंटरनेट की सुविधा देती है (जैसे- Jio, Airtel, BSNL)।"
मॉडेम (Modem) का फुल फॉर्म क्या है?,Modulation Demodulation,Modulator Demodulator,Modern Demodulator,Motor Demotor,2,Modem (Modulator Demodulator) डिजिटल सिग्नल को एनालॉग में और एनालॉग सिग्नल को डिजिटल में बदलने का काम करता है।
गूगल (Google) के संस्थापक कौन हैं?,लैरी पेज और सर्गेई ब्रिन,बिल गेट्स,मार्क जुकरबर्ग,स्टीव जॉब्स,1,लैरी पेज (Larry Page) और सर्गेई ब्रिन (Sergey Brin) ने 1998 में कैलिफोर्निया के एक गैरेज में गूगल सर्च इंजन की शुरुआत की थी।
माइक्रोसॉफ्ट (Microsoft) कंपनी के संस्थापक कौन हैं?,स्टीव जॉब्स,बिल गेट्स और पॉल एलन,जेफ बेजोस,एलोन मस्क,2,"बिल गेट्स और उनके बचपन के दोस्त पॉल एलन ने मिलकर 1975 में माइक्रोसॉफ्ट कंपनी की स्थापना की थी, जो विंडोज OS बनाती है।"
एप्पल (Apple) कंपनी के संस्थापक कौन हैं?,मार्क जुकरबर्ग,स्टीव जॉब्स (Steve Jobs),बिल गेट्स,सत्य नडेला,2,"स्टीव जॉब्स, स्टीव वोज्नियाक और रोनाल्ड वेन ने मिलकर 1976 में एप्पल कंपनी बनाई थी, जो Mac और iPhone के लिए जानी जाती है।"
आर्टिफिशियल इंटेलिजेंस (AI) का जनक किसे कहा जाता है?,जॉन मैकार्थी (John McCarthy),एलन ट्यूरिंग,चार्ल्स बैबेज,वॉन न्यूमैन,1,जॉन मैकार्थी (John McCarthy) ने ही सबसे पहले 1956 में 'आर्टिफिशियल इंटेलिजेंस' शब्द का प्रयोग किया था और इसके विकास में बड़ा योगदान दिया।
कंप्यूटर की स्क्रीन को तुरंत लॉक (Lock) करने की शॉर्टकट की क्या है?,Win + L,Ctrl + L,Alt + L,Shift + L,1,विंडोज की के साथ L (Win + L) दबाने से आपका कंप्यूटर तुरंत लॉक हो जाता है। यह प्राइवेसी के लिए एक बहुत अच्छी शॉर्टकट की है।
सभी खुली हुई विंडो को एक साथ मिनिमाइज़ (Minimize) करके डेस्कटॉप देखने की शॉर्टकट की क्या है?,Win + M,Win + D,Win + S,Win + E,2,Win + D दबाते ही स्क्रीन पर खुले सभी प्रोग्राम छिप (Minimize) जाते हैं और सीधा डेस्कटॉप दिखने लगता है।
फाइल या टेक्स्ट को खोजने (Find) के लिए किस शॉर्टकट की का इस्तेमाल होता है?,Ctrl + S,Ctrl + F,Ctrl + H,Ctrl + O,2,"MS Word, ब्राउज़र या किसी भी फाइल में कोई खास शब्द खोजने (Find) के लिए Ctrl + F दबाकर सर्च बॉक्स खोला जाता है।"
किसी शब्द को दूसरे शब्द से बदलने (Replace) की शॉर्टकट की क्या है?,Ctrl + R,Ctrl + F,Ctrl + H,Ctrl + X,3,MS Word में किसी गलत शब्द की जगह कोई नया शब्द एक साथ सभी जगह लिखने (Replace करने) के लिए Ctrl + H का इस्तेमाल करते हैं।
रेडू (Redo) करने की शॉर्टकट की क्या है?,Ctrl + R,Ctrl + Y,Ctrl + Z,Ctrl + X,2,अनडू (Ctrl + Z) की गई क्रिया को वापस लाने या उसी काम को दोहराने के लिए रेडू (Ctrl + Y) का इस्तेमाल किया जाता है।
टेक्स्ट को बोल्ड (Bold / मोटा) करने की शॉर्टकट की क्या है?,Ctrl + B,Ctrl + I,Ctrl + U,Ctrl + D,1,सिलेक्ट किए गए टेक्स्ट को डार्क और मोटा (Bold) करने के लिए कीबोर्ड से Ctrl + B कुंजियों का इस्तेमाल किया जाता है।
टेक्स्ट को इटैलिक (Italic / तिरछा) करने की शॉर्टकट की क्या है?,Ctrl + T,Ctrl + I,Ctrl + U,Ctrl + B,2,सिलेक्ट किए गए टेक्स्ट को थोड़ा तिरछा (Italic) डिज़ाइन देने के लिए Ctrl + I शॉर्टकट की का उपयोग होता है।
टेक्स्ट को अंडरलाइन (Underline) करने की शॉर्टकट की क्या है?,Ctrl + B,Ctrl + I,Ctrl + U,Ctrl + Shift + U,3,सिलेक्ट किए गए टेक्स्ट के नीचे एक लाइन खींचने (Underline करने) के लिए Ctrl + U का इस्तेमाल किया जाता है।
"कागज़ पर प्रिंट करने से पहले यह देखना कि प्रिंट कैसा दिखेगा (Print Preview), इसकी शॉर्टकट की क्या है?",Ctrl + P,Ctrl + F2,Ctrl + Shift + P,Alt + P,2,MS Word या Excel में प्रिंट करने से पहले उसका प्रीव्यू (Print Preview) देखने के लिए Ctrl + F2 की का इस्तेमाल किया जाता है।
कॉपी (Copy) या कट (Cut) किया गया डेटा पेस्ट होने से पहले अस्थायी रूप से कहाँ सेव रहता है?,RAM में,क्लिपबोर्ड (Clipboard) में,हार्ड डिस्क में,ROM में,2,"जब तक आप डेटा को पेस्ट (Paste) नहीं कर देते, तब तक वह कंप्यूटर की अस्थायी मेमोरी 'क्लिपबोर्ड' (Clipboard) में सुरक्षित रहता है।"
विंडोज में किसी भी सॉफ्टवेयर या प्रोग्राम को इंस्टॉल करने वाली मुख्य फाइल का एक्सटेंशन क्या होता है?,.txt,.mp4,.exe (Executable),.apk,3,कंप्यूटर में सॉफ्टवेयर सेटअप फाइलों का एक्सटेंशन .exe (Executable File) होता है। (जबकि एंड्रॉइड मोबाइल में .apk होता है)।
बड़ी फाइलों के साइज़ को छोटा (Compress) करने के लिए किस फाइल एक्सटेंशन का इस्तेमाल होता है?,.zip / .rar,.pdf,.exe,.docx,1,ZIP या RAR फोल्डर बनाकर हम बड़ी फाइलों का साइज़ छोटा कर सकते हैं और कई फाइलों को एक ही फोल्डर में पैक कर सकते हैं।
ईमेल (Email) भेजने के लिए किस प्रोटोकॉल का इस्तेमाल होता है?,HTTP,FTP,SMTP (Simple Mail Transfer Protocol),POP3,3,"SMTP (Simple Mail Transfer Protocol) इंटरनेट पर ईमेल भेजने (Send करने) का काम करता है, जबकि POP3 ईमेल रिसीव करने का काम करता है।"
इंटरनेट से फाइल डाउनलोड या अपलोड करने के लिए कौन-सा प्रोटोकॉल उपयोग होता है?,HTTP,SMTP,FTP (File Transfer Protocol),TCP,3,FTP (File Transfer Protocol) का मुख्य काम क्लाइंट (आपके कंप्यूटर) और सर्वर के बीच फाइलों का सुरक्षित आदान-प्रदान करना है।
दो अलग-अलग प्रकार के नेटवर्क को आपस में जोड़ने के लिए किस डिवाइस का उपयोग होता है?,हब (Hub),स्विच (Switch),राउटर (Router),मॉडेम,3,राउटर (Router) एक नेटवर्किंग डिवाइस है जो डेटा पैकेट्स को एक नेटवर्क से दूसरे नेटवर्क (जैसे आपके घर से इंटरनेट) तक सही रास्ता दिखाता है।
गूगल ड्राइव (Google Drive) किस प्रकार की स्टोरेज का एक बेहतरीन उदाहरण है?,हार्ड डिस्क,क्लाउड स्टोरेज (Cloud Storage),पेन ड्राइव,ऑप्टिकल डिस्क,2,"क्लाउड स्टोरेज (Cloud Storage) का मतलब है अपना डेटा इंटरनेट (सर्वर) पर सुरक्षित रखना, जिसे आप किसी भी डिवाइस से कभी भी एक्सेस कर सकते हैं।"
"वह सॉफ्टवेयर जो कंप्यूटर या यूज़र के डेटा को नुकसान पहुँचाने के लिए बनाया जाता है, क्या कहलाता है?",सिस्टम सॉफ्टवेयर,यूटिलिटी सॉफ्टवेयर,मालवेयर (Malware),फ्रीवेयर,3,"मालवेयर (Malicious Software) एक अंब्रेला टर्म है, जिसके अंदर वायरस, ट्रोजन, वर्म और रैनसमवेयर जैसे सभी हानिकारक प्रोग्राम आते हैं।"
"धोखे से किसी का पासवर्ड, क्रेडिट कार्ड नंबर या बैंक डिटेल चुराने की प्रक्रिया को क्या कहते हैं?",फ़िशिंग (Phishing),स्पैमिंग (Spamming),हैकिंग (Hacking),बूटिंग,1,"फ़िशिंग (Phishing) साइबर क्राइम का एक तरीका है, जिसमें अपराधी किसी बैंक या कंपनी के नाम से नकली ईमेल या लिंक भेजकर यूज़र की निजी जानकारी चुरा लेते हैं।"
VGA का पूरा नाम क्या है?,Video Graphic Array,Visual Graphic Array,Visual Graphic Adapter,Video Graphic Adapter,1,"VGA (Video Graphic Array) एक प्रकार का डिस्प्ले केबल (नीले रंग का पोर्ट) होता है, जो कंप्यूटर से मॉनिटर तक वीडियो सिग्नल भेजता है।"
HDMI का पूरा नाम क्या है?,High-Definition Multimedia Interface,High-Definition Memory Interface,High-Data Multimedia Interface,High-Definition Media Internet,1,"HDMI आज के समय का सबसे आधुनिक केबल है, जो कंप्यूटर से मॉनिटर या टीवी तक हाई-क्वालिटी वीडियो और ऑडियो दोनों एक साथ भेजता है।"
कंप्यूटर की भाषा में 'बग' (Bug) का क्या अर्थ है?,कंप्यूटर का कीड़ा,सॉफ्टवेयर या प्रोग्राम में त्रुटि (Error),कंप्यूटर का हार्डवेयर,एक प्रकार का वायरस,2,प्रोग्रामिंग की भाषा में किसी सॉफ्टवेयर के अंदर मौजूद गलती या कोडिंग की त्रुटि (Error) को 'बग' (Bug) कहा जाता है और इसे ठीक करना 'डीबगिंग' कहलाता है।
पीडीएफ (PDF) फाइल को पढ़ने (Read) के लिए सबसे प्रसिद्ध और आम सॉफ्टवेयर कौन-सा है?,MS Word,Adobe Reader,Notepad,VLC Player,2,एडोब रीडर (Adobe Acrobat Reader) दुनिया का सबसे लोकप्रिय एप्लीकेशन है जिसका उपयोग PDF फाइलों को देखने और प्रिंट करने के लिए होता है।
विंडोज डेस्कटॉप पर टाइम और डेट (Time and Date) टास्कबार में कहाँ दिखाई देता है?,स्टार्ट मेनू में,सिस्टम ट्रे (System Tray) में,क्विक लॉन्च बार में,टाइटल बार में,2,"टास्कबार के एकदम दाहिने (Right) कोने को 'सिस्टम ट्रे' या 'नोटिफिकेशन एरिया' कहा जाता है, जहाँ समय, तारीख और वॉल्यूम का आइकॉन दिखता है।"
विंडोज में कोई नया फोल्डर बनाने पर उसका डिफ़ॉल्ट नाम (Default name) क्या होता है?,Document 1,New folder,Untitled 1,Blank Folder,2,"जब आप डेस्कटॉप या ड्राइव में कोई नया फोल्डर बनाते हैं, तो कंप्यूटर खुद-ब-खुद उसे 'New folder' नाम दे देता है जिसे आप बाद में Rename कर सकते हैं।"
कंप्यूटर के कीबोर्ड में सबसे लंबी की (Key) कौन-सी होती है?,Enter Key,Shift Key,Spacebar (स्पेसबार),Backspace Key,3,स्पेसबार (Spacebar) कीबोर्ड की सबसे लंबी कुंजि होती है। इसका काम दो शब्दों या अक्षरों के बीच खाली जगह (Space) छोड़ना होता है।
"जब एक कंप्यूटर पर एक ही समय में कई काम (जैसे गाना सुनना और टाइपिंग करना) एक साथ किए जाते हैं, तो उसे क्या कहते हैं?",मल्टीयूज़र,मल्टीप्रोसेसिंग,मल्टीटास्किंग (Multitasking),मल्टीप्रोग्रामिंग,3,मल्टीटास्किंग (Multitasking) ऑपरेटिंग सिस्टम की वह खूबी है जिससे यूज़र एक ही समय में एक से ज़्यादा एप्लीकेशन (प्रोग्राम) चला सकता है।
,,MS Excel,9191,9698,0:00:20,1
"कंप्यूटर के ""frff""कीबोर्ड'ygg'jjjj,ggg, में सबसे लंबी की (Key) कौन-सी होती है?",Enter Key,Shift Key,Spacebar (स्पेसबार),Backspace Key,3,स्पेसबार (Spacebar) कीबोर्ड की सबसे लंबी कुंजि होती है। इसका काम दो शब्दों या अक्षरों के बीच खाली जगह (Space) छोड़ना होता है।
